GameID,Winning_Team,Wicket_1_WT,Wicket_2_WT,Wicket_3_WT,Wicket_4_WT,Wicket_5_WT,Wicket_6_WT,Wicket_7_WT,Wicket_8_WT,Wicket_9_WT,Wicket_10_WT,TotalWT,GameID,Losing_Team,Wicket_1_LT,Wicket_2_LT,Wicket_3_LT,Wicket_4_LT,Wicket_5_LT,Wicket_6_LT,Wicket_7_LT,Wicket_8_LT,Wicket_9_LT,Wicket_10_LT,TotalLT
1,Thunder,12,17,1,11,76,0,83,NA,NA,NA,200,1,Renegades,30,87,46,10,12,4,NA,NA,NA,NA,189
2,Strikers,48,48,18,69,NA,NA,NA,NA,NA,NA,183,2,Hurricanes,14,32,11,17,0,11,21,20,5,7,138
3,Sixers,10,150,51,10,21,NA,NA,NA,NA,NA,242,3,Stars,61,10,18,4,31,23,9,NA,NA,NA,156
4,Scorchers,16,2,9,84,35,40,2,NA,NA,NA,188,4,Heat,27,2,9,23,21,36,9,40,3,NA,170
5,Strikers,18,20,117,8,12,1,NA,NA,NA,NA,176,5,Hurricanes,19,1,8,1,14,5,0,17,8,20,93
6,Sixers,57,25,24,18,22,NA,NA,NA,NA,NA,146,6,Thunder,4,53,9,45,3,28,NA,NA,NA,NA,142
7,Scorchers,106,17,NA,NA,NA,NA,NA,NA,NA,NA,123,7,Sixers,16,22,9,42,11,2,4,1,15,NA,122
8,Thunder,86,9,20,NA,NA,NA,NA,NA,NA,NA,115,8,Stars,40,11,10,1,9,2,41,0,NA,NA,114
9,Heat,13,2,78,2,21,NA,NA,NA,NA,NA,116,9,Scorchers,23,10,5,10,6,49,8,1,NA,NA,112
10,Thunder,95,40,NA,NA,NA,NA,NA,NA,NA,NA,135,10,Stars,0,82,24,9,17,NA,NA,NA,NA,NA,132
11,Strikers,35,30,30,0,20,13,11,NA,NA,NA,139,11,Renegades,3,15,0,20,52,32,5,11,NA,NA,138
12,Sixers,23,2,29,66,12,10,0,4,6,NA,152,12,Hurricanes,18,18,26,3,0,0,7,38,9,NA,119
13,Renegades,12,40,48,20,27,13,NA,NA,NA,NA,160,13,Strikers,18,29,32,13,24,3,7,9,10,6,151
14,Renegades,43,22,20,35,1,9,3,NA,NA,NA,133,14,Heat,38,33,4,2,3,14,10,8,4,9,125
15,Sixers,6,93,NA,NA,NA,NA,NA,NA,NA,NA,99,15,Hurricanes,12,0,28,10,4,18,19,0,4,3,98
16,Renegades,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,16,Heat,2,7,17,10,3,8,4,4,4,7,66
17,Scorchers,140,24,NA,NA,NA,NA,NA,NA,NA,NA,164,17,Stars,28,96,0,33,6,NA,NA,NA,NA,NA,163
18,Stars,20,18,34,16,17,44,NA,NA,NA,NA,149,18,Scorchers,59,39,9,6,24,NA,NA,NA,NA,NA,137
19,Heat,56,58,NA,NA,NA,NA,NA,NA,NA,NA,114,19,Strikers,5,2,27,5,10,64,NA,NA,NA,NA,113
20,Scorchers,103,5,20,9,2,NA,NA,NA,NA,NA,139,20,Sixers,0,15,56,2,42,1,10,10,1,1,138
21,Thunder,56,38,12,10,NA,NA,NA,NA,NA,NA,116,21,Hurricanes,5,6,35,31,2,2,24,5,NA,NA,110
22,Thunder,13,21,65,NA,NA,NA,NA,NA,NA,NA,99,22,Hurricanes,11,38,10,5,9,14,0,10,0,0,97
23,Heat,88,30,4,NA,NA,NA,NA,NA,NA,NA,122,23,Strikers,33,1,23,7,52,1,1,1,NA,NA,119
24,Sixers,23,21,9,1,18,43,13,NA,NA,NA,128,24,Renegades,8,0,23,6,7,19,12,6,2,9,92
26,Strikers,17,78,10,21,16,2,NA,NA,NA,NA,289,26,Stars,73,19,0,4,19,4,0,3,0,NA,264
27,Stars,15,8,97,25,NA,NA,NA,NA,NA,NA,145,27,Renegades,18,1,32,13,5,43,30,NA,NA,NA,142
28,Heat,41,39,34,NA,NA,NA,NA,NA,NA,NA,114,28,Hurricanes,18,41,18,23,11,NA,NA,NA,NA,NA,111
29,Thunder,3,53,18,8,39,0,24,NA,NA,NA,145,29,Scorchers,40,46,25,15,14,4,NA,NA,NA,NA,144
30,Heat,10,34,99,18,7,NA,NA,NA,NA,NA,168,30,Hurricanes,16,24,48,16,5,3,3,1,5,5,126
31,Scorchers,17,69,50,NA,NA,NA,NA,NA,NA,NA,136,31,Thunder,1,14,113,1,5,NA,NA,NA,NA,NA,134
32,Strikers,33,10,27,1,4,2,25,8,19,5,134,32,Stars,69,25,14,6,16,2,NA,NA,NA,NA,132
33,Heat,49,19,12,21,18,15,NA,NA,NA,NA,134,33,Stars,32,77,4,20,NA,NA,NA,NA,NA,NA,133
35,Thunder,1,19,1,43,40,5,5,NA,NA,NA,114,35,Sixers,7,28,5,4,38,0,5,17,9,0,113
36,Stars,25,18,28,8,15,NA,NA,NA,NA,NA,94,36,Heat,2,5,1,15,6,11,41,6,6,NA,93
37,Renegades,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,37,Hurricanes,62,6,8,1,1,1,5,5,0,11,100
38,Strikers,9,45,27,18,2,2,4,NA,NA,NA,107,38,Scorchers,19,4,3,10,11,14,0,2,12,1,76
39,Hurricanes,20,38,38,1,12,0,6,0,3,2,120,39,Renegades,5,29,0,50,24,8,NA,NA,NA,NA,116
40,Sixers,84,11,8,1,25,31,NA,NA,NA,NA,160,40,Heat,94,7,7,18,4,9,0,1,8,3,151
41,Sixers,0,32,26,23,12,21,11,19,NA,NA,144,41,Heat,0,35,4,58,29,NA,NA,NA,NA,NA,126
43,Thunder,6,53,5,59,25,NA,NA,NA,NA,NA,148,43,Strikers,11,17,19,22,20,0,2,18,2,0,111
44,Scorchers,79,47,NA,NA,NA,NA,NA,NA,NA,NA,126,44,Hurricanes,21,0,98,0,3,NA,NA,NA,NA,NA,122
45,Scorchers,38,1,39,24,32,NA,NA,NA,NA,NA,134,45,Hurricanes,24,0,45,17,13,19,12,NA,NA,NA,130
46,Sixers,15,9,10,28,25,20,NA,NA,NA,NA,107,46,Stars,2,2,11,7,41,23,20,NA,NA,NA,106
48,Thunder,1,5,33,7,18,1,4,NA,NA,NA,69,48,Renegades,1,0,16,5,19,7,16,2,1,1,68
49,Stars,22,55,27,4,NA,NA,NA,NA,NA,NA,108,49,Hurricanes,45,10,26,5,3,1,3,14,NA,NA,107
50,Sixers,34,21,86,9,NA,NA,NA,NA,NA,NA,150,50,Strikers,56,44,15,17,17,NA,NA,NA,NA,NA,149
51,Renegades,85,0,0,21,0,8,11,NA,NA,NA,125,51,Scorchers,22,2,3,6,5,26,0,60,NA,NA,124
52,Heat,14,32,83,16,1,NA,NA,NA,NA,NA,146,52,Thunder,21,42,38,12,18,14,NA,NA,NA,NA,145
53,Hurricanes,38,39,33,0,15,5,NA,NA,NA,NA,130,53,Stars,30,12,13,13,27,4,26,3,NA,NA,128
54,Scorchers,24,20,1,30,4,31,3,NA,NA,NA,113,54,Renegades,2,17,38,22,20,0,5,0,2,6,112
55,Sixers,53,23,31,5,NA,NA,NA,NA,NA,NA,112,55,Strikers,20,12,24,7,29,5,2,10,1,1,111
56,Thunder,20,7,19,39,0,14,11,0,7,NA,117,56,Heat,0,41,2,7,41,9,1,6,2,6,115
57,Scorchers,65,21,62,NA,NA,NA,NA,NA,NA,NA,148,57,Thunder,10,21,4,9,2,42,19,11,3,NA,121
58,Sixers,3,87,14,27,5,2,NA,NA,NA,NA,138,58,Strikers,20,0,2,2,1,0,46,24,17,9,121
59,Sixers,64,36,NA,NA,NA,NA,NA,NA,NA,NA,100,59,Scorchers,23,3,3,12,20,5,5,19,4,5,99
,Totals,2133,1661,1507,816,599,332,216,31,35,7,7482,,Totals,1238,1193,1078,732,829,590,432,383,137,110,6864
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GameID,Winning_Team,Wicket_1_WT%,Wicket_2_WT%,Wicket_3_WT%,Wicket_4_WT%,Wicket_5_WT%,Wicket_6_WT%,Wicket_7_WT%,Wicket_8_WT%,Wicket_9_WT%,Wicket_10_WT%,,GameID,Losing_Team,Wicket_1_LT%,Wicket_2_LT%,Wicket_3_LT%,Wicket_4_LT%,Wicket_5_LT%,Wicket_6_LT%,Wicket_7_LT%,Wicket_8_LT%,Wicket_9_LT%,Wicket_10_LT%,
1,Thunder,6.00,8.50,0.50,5.50,38.00,0.00,41.50,NA,NA,NA,,1,Renegades,15.87,46.03,24.34,5.29,6.35,2.12,NA,NA,NA,NA,
2,Strikers,26.23,26.23,9.84,37.70,NA,NA,NA,NA,NA,NA,,2,Hurricanes,10.14,23.19,7.97,12.32,0.00,7.97,15.22,14.49,3.62,5.07,
3,Sixers,4.13,61.98,21.07,4.13,8.68,NA,NA,NA,NA,NA,,3,Stars,39.10,6.41,11.54,2.56,19.87,14.74,5.77,NA,NA,NA,
4,Scorchers,8.51,1.06,4.79,44.68,18.62,21.28,1.06,NA,NA,NA,,4,Heat,15.88,1.18,5.29,13.53,12.35,21.18,5.29,23.53,1.76,NA,
5,Strikers,10.23,11.36,66.48,4.55,6.82,0.57,NA,NA,NA,NA,,5,Hurricanes,20.43,1.08,8.60,1.08,15.05,5.38,0.00,18.28,8.60,21.51,
6,Sixers,39.04,17.12,16.44,12.33,15.07,NA,NA,NA,NA,NA,,6,Thunder,2.82,37.32,6.34,31.69,2.11,19.72,NA,NA,NA,NA,
7,Scorchers,86.18,13.82,NA,NA,NA,NA,NA,NA,NA,NA,,7,Sixers,13.11,18.03,7.38,34.43,9.02,1.64,3.28,0.82,12.30,NA,
8,Thunder,74.78,7.83,17.39,NA,NA,NA,NA,NA,NA,NA,,8,Stars,35.09,9.65,8.77,0.88,7.89,1.75,35.96,0.00,NA,NA,
9,Heat,11.21,1.72,67.24,1.72,18.10,NA,NA,NA,NA,NA,,9,Scorchers,20.54,8.93,4.46,8.93,5.36,43.75,7.14,0.89,NA,NA,
